gene_id	FLT_cluster_14_liver_secreted	FLT_cluster_3_mixed_stress	GC_cluster_1_DE_enriched	FLT3_GC1_overlap	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032080	True	False	False	False	Apoa4	6.0	1.59059809703387	0.115719633047949	13.7452742904465	5.4366621084334994e-43	5.0	1.0	111.621623539434	95.520581190764	1.86094218462677e-22	8.83729425725866e-39	True	True	mixed
ENSMUSG00000053469	False	True	True	True	Tg	2.0	3.60991129600033	0.327686329652947	11.0163622016933	3.1867921638394698e-28	2.0	0.0	7.90307173346199	87.3466920999091	0.0049350920692414	1.72671022077369e-24	True	True	all_up
ENSMUSG00000061816	False	False	True	False	Myl1	2.0	4.5274585923055	0.517084952693761	8.75573456299519	2.02778436648046e-18	2.0	0.0	30.8570187259514	96.7592462224519	2.77755746814418e-08	5.49360581285664e-15	True	True	all_up
ENSMUSG00000031972	False	False	True	False	Acta1	3.0	3.6135389836015	0.424587100658105	8.51071306217395	1.72866941363947e-17	3.0	0.0	72.8180509977733	97.2534282741773	1.54085273779685e-16	4.01421733124423e-14	True	True	all_up
ENSMUSG00000061723	False	False	True	False	Tnnt3	2.0	4.09596701880897	0.532005029639638	7.69911333654767	1.37013606580264e-14	2.0	0.0	6.39464527264766	84.3619159880943	0.0114465100561029	1.39197260935137e-11	True	True	all_up
ENSMUSG00000023067	True	False	False	False	Cdkn1a	6.0	1.12915213538534	0.1737523070563	6.49863103699376	8.105417785450501e-11	4.0	2.0	40.1847618516651	87.5574726099993	1.37057434056619e-07	3.76438760292851e-08	True	True	mixed
ENSMUSG00000096688	True	False	False	False	Mup17	6.0	-1.17977113153941	0.185237150390729	-6.36897689826723	1.90293265373116e-10	2.0	4.0	56.6452744356751	91.1731383600624	5.98398668441129e-11	7.73304257159999e-08	True	True	mixed
ENSMUSG00000042828	False	False	True	False	Trim72	2.0	1.50514669516577	0.247536602689689	6.08050154527093	1.19807197633676e-09	2.0	0.0	15.3631300953829	93.4909097703955	8.87023476255219e-05	3.81856077948119e-07	True	True	all_up
ENSMUSG00000057003	False	False	True	False	Myh4	2.0	3.48378110513879	0.600693939991864	5.79959422461625	6.647557806982551e-09	2.0	0.0	8.03824222697363	87.5594692003143	0.0045799958655875	1.52191622750002e-06	True	True	all_up
ENSMUSG00000033196	False	False	True	False	Myh2	2.0	3.01239303350156	0.533169472935514	5.6499728255558	1.60473202971477e-08	2.0	0.0	6.48095520232658	84.5701757105031	0.010903637197144	3.22036038802637e-06	True	True	all_up
ENSMUSG00000096674	True	False	False	False	Mup15	5.0	-1.53468328977726	0.271838613689913	-5.64556767320729	1.64637092955458e-08	0.0	5.0	18.8417965174834	78.7706018569493	0.0008442304793253	3.22747690279604e-06	True	True	all_down
ENSMUSG00000056328	False	False	True	False	Myh1	2.0	2.22630245144471	0.395879180744786	5.62369167091905	1.86919151901604e-08	2.0	0.0	22.6008077417499	95.5753793783541	1.9940075512229e-06	3.53298931879137e-06	True	True	all_up
