profile	id.accession	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47	baseline_control	Mmus_C57-6T_LVR_BSL_Rep1_B1	RR-1_BSL_M1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47	baseline_control	Mmus_C57-6T_LVR_BSL_Rep2_B2	RR-1_BSL_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47	baseline_control	Mmus_C57-6T_LVR_BSL_Rep3_B3	RR-1_BSL_M3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	flight	Mmus_C57-6T_LVR_FLT_Rep1_F1	RR-1_FLT_M1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	flight	Mmus_C57-6T_LVR_FLT_Rep2_F2	RR-1_FLT_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47	flight	Mmus_C57-6T_LVR_FLT_Rep3_F4	RR-1_FLT_M4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47	ground_control	Mmus_C57-6T_LVR_GC_Rep1_G2	RR-1_GC_M2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47	ground_control	Mmus_C57-6T_LVR_GC_Rep2_G3	RR-1_GC_M3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47	ground_control	Mmus_C57-6T_LVR_GC_Rep3_G5	RR-1_GC_M5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-47	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-47
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48	flight	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	RR1_FLT_M25	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48	flight	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	RR1_FLT_M26	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48	flight	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	RR1_FLT_M27	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48	flight	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	RR1_FLT_M28	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	flight	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	RR1_FLT_M30	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48	flight	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	RR1_FLT_M21	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	flight	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	RR1_FLT_M22	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep1_M36	RR1_GC_M36	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep2_M37	RR1_GC_M37	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep3_M38	RR1_GC_M38	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep4_M39	RR1_GC_M39	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep5_M40	RR1_GC_M40	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_I_Rep1_M31	RR1_GC_M31	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_I_Rep2_M32	RR1_GC_M32	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_DI_1y_Rep1	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep1	25min 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_DI_1y_Rep2	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep2	25min 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_DI_1y_Rep3	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep3	25min 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
