Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006805,xenobiotic metabolic process,19_GO:0050896 response to stimulus,-18,11,15,17423,137,278,24,8.6,1.7,13086|13089|13094|13097|13098|13099|13105|13114|14262|14860|14923|20859|28248|53973|76654|225884|226143|226564|233005|244209|337924|638251|100043108|100043194,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Gsta4|Guk1|Sult2a1|Slco1a1|Cyp3a41a|Upp2|Gstp3|Cyp2c23|Fmo4|Cyp2a22|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69|Sult2a2,-13,FLT14_all
WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-17,15,16,17423,79,278,19,6.8,1.5,11837|16898|19933|19941|19942|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rps13|Rpl10,-13,FLT14_all
GO Biological Processes,19,GO:0071466,cellular response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-15,8.2,13,17423,192,278,25,9,1.7,13086|13089|13094|13097|13098|13099|13105|13114|14262|14860|14864|14923|20859|28248|53973|76654|225884|226143|226564|233005|244209|337924|638251|100043108|100043194,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Fmo3|Gsta4|Gstm3|Guk1|Sult2a1|Slco1a1|Cyp3a41a|Upp2|Gstp3|Cyp2c23|Fmo4|Cyp2a22|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69|Sult2a2,-12,FLT14_all
GO Biological Processes,19,GO:0008202,steroid metabolic process,19_GO:0009987 cellular process,-14,6.8,12,17423,250,278,27,9.7,1.8,11808|12401|13089|13094|13099|13113|13114|13123|16323|16847|18559|20775|20859|27400|28248|53973|78925|192156|216454|244152|244209|319554|337924|432720|638251|100043108|100043194,Apoa4|Serpina6|Cyp2b13|Cyp2b9|Cyp2c40|Cyp3a13|Cyp3a16|Cyp7b1|Inhba|Lepr|Pctp|Sqle|Sult2a1|Hsd17b6|Slco1a1|Cyp3a41a|Srd5a1|Mvd|Rdh16f2|Tsku|Cyp2r1|Idi1|Cyp3a44|Akr1c19|Sult2a7|Cyp2c69|Sult2a2,-11,FLT14_all
KEGG Pathway,24,mmu03010,Ribosome - Mus musculus (house mouse),,-14,8.3,12,17423,166,278,22,7.9,1.6,11837|16898|19933|19941|19942|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68028|68052|68463|68499|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Mrpl14|Mrpl53|Rpl10,-10,FLT14_all
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-13,4.4,10,17423,528,278,37,13,2,11770|12686|13086|13089|13094|13097|13098|13099|13105|13114|13123|17319|20859|22361|26464|26874|26897|28248|53973|56185|57742|66447|67092|68180|170439|171281|216454|225884|226143|233005|234671|337924|382044|432720|638251|100043108|100043194,Fabp4|Elovl3|Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a16|Cyp7b1|Mif|Sult2a1|Vnn1|Vnn3|Abcd2|Acot1|Slco1a1|Cyp3a41a|Hao2|Abhd1|Mgst3|Gatm|Hyi|Elovl6|Acot3|Rdh16f2|Gstp3|Cyp2c23|Cyp2a22|Ces2c|Cyp3a44|Ces1b|Akr1c19|Sult2a7|Cyp2c69|Sult2a2,-10,FLT14_all
Reactome Gene Sets,6,R-MMU-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,,-13,13,14,17423,76,278,16,5.8,1.4,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-10,FLT14_all
Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-13,13,13,17423,78,278,16,5.8,1.4,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.9,FLT14_all
Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-13,12,13,17423,82,278,16,5.8,1.4,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.6,FLT14_all
Reactome Gene Sets,6,R-MMU-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,,-13,12,13,17423,82,278,16,5.8,1.4,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.6,FLT14_all
